	Cost($)	product_1(kg)	product_2(g)	product_3(quantity)	product_4(quantity)
User 1	50	2	200.0	3.0	5.0
User 2	114,15	7	73.5294	3.0	6.0
User 3	106,15	6	500.0	3.0	6.0
User 4	54.8759	7	1500.0	3.0	4.5957
User 5	25,65	1	200.0	2.0	1.0
User 6	109	3	300.0	15.0	5.0
User 7	90,25	1	3000.0	2.0	5.0
User 8	54.8759	1	73.5294	2.0	15.0
User 9	24,55	0,5	15.0	2.0	5.0
User 10	47	2	50.0	3.0	5.0
User 11	58,45	3	50.0	4.0	3.0
User 12	28,65	0,1	300.0	4.0	3.0
User 13	68,4	3,5	60.0	5.0	3.0
User 14	91,75	6	75.0	2.0	4.5957
User 15	31,45	0.7058	60.0	3.3898	5.0
User 16	39,1	2	30.0	1.0	5.0
User 17	75,9	3	600.0	4.0	6.0
User 18	65,1	3	60.0	4.0	6.0
User 19	54.8759	8	73.5294	4.0	6.0
User 20	64,9	3	50.0	4.0	6.0
User 21	57,15	2	75.0	5.0	6.0
User 22	56,85	0.7058	60.0	5.0	6.0
User 23	129,55	7	50.0	5.0	12.0
User 24	26,35	0,1	50.0	3.3898	6.0
User 25	30,1	0,1	50.0	4.0	6.0
User 26	51,25	2	75.0	4.0	5.0
User 27	59,35	2	50.0	4.0	9.0
User 28	44,3	2	73.5294	4.0	2.0
User 29	44,3	2	50.0	4.0	2.0
User 30	77,4	1,5	50.0	15.0	4.5957
